,여의도한강공원리뷰
967,벚꽃축제하는 날이라 사진을 찍어보고 떨어지는 벚꽃잎을 봤어요.
968,이렇게 멋진 걸 하다니..! 강변음악회 너무 좋았어요
969,"불꽃놀이 보러갔다. 근처에서 돗자리를 빌리자. 돗자리 렌트 업체가 많으니 굳이 집에서 챙길 필요는 없다. 팁을 주자면 1. 텐트는 소규모 인원일 경우 효율적이지만 4명 이상이라면 굉장히 불편하다. 두 명을 재외하고는 밖이 잘 보이지도 않을 뿐더러 열기때문에 덥다. 2. 짐을 최소화 하자. 굉장히 많은 사람이 몰리기 때문에 집으로 갈 때 짐 들고 움직이려면 암걸린다. 3. 낮이 좀 덥더라도 담요나 가디건을 챙기자. 은근히 쌀쌀함. 4. 주변 편의점은 거의 만석 수준이다. 줄서서 물건 사간다. 가능하면 집앞에서 맥주나 물 등을 챙겨 오는 것이 좋다. 물론, 쓰레기를 모아 버릴 봉투도. 5. 물빛공원에서 살짝 떨어진 변두리 자리가 좋다. 6.경사진 바닥을 최대한 피하자. 내가 불편한 것은 둘째치고 경사 상부에 있는 사람들이 맥주를 쏱으면 전부 당신에게 온다."
970,"어마어마한 인파,3년만에하는 불꽃놀이는 장관 입니다.정말 멋있었어요..버려진 쓰레기가 흠..."
971,대박입니다 새벽 세시에 오면 조용하고 좋습니다
972,새벽갬성을 느낄 수 있는~~한강
973,근처에서 텐트 하나 빌리시면 아주 여유롭고 좋습니다. 주의점은 여름에는 텐트안에 있어도 매우 더우니 4시이후 방문을 권장드립니다
974,타지생활에 큰 힘이 되어주는 공원입니다. 물보고 싶을때 가서 맥주마시면서 강보면 기분이좋아요
975,데이트 하기 좋고 텐트대여해서 놀 수 있어서 색다른 경험을 할 수 있다 밤에 조명들이켜지면 사진찍을 장소가 많다 중간중간 해먹도 있어서 누워서 쉬기 좋다
976,"한강은 서울의 축복인듯 합니다. 날이더워 부분적으론 부폐한 쓰래기 냄새가 나는곳도 있지만 7,8월동안 열리는 퐁당축제는 다채로움에 연속이네요 이랜드 유람선 선착장근처엔 먹거리도 많으니 방문해 보세요"
977,봄에서 초겨울까지 가기 좋은 곳인거 같습니다. 저같은 경우에는 자전거를 타고 와서 힘들기는 하지만 한강공원 중에서는 가장 마음에 듭니다.
978,공기 좋은날 자전거 타기 좋은 곳
979,선선한 강바람과 여유가 필요하다면.
980,"한강은 한국에서 자랑할만한 장소입니다. 강북과 강남을 잇고, 봄, 여름, 가을, 겨울 언제든 가도 새로운 모습을 보여주고 편하게 쉴 수 있는 장소입니다. 지하철역에서 나올때 전단지를 나눠주는데, 한장이라도 받으면 모든 분들이 모여서 다 주시는통에.. 한장을 받으려다 어마어마하게 받게될 수도 있습니다^^;;;"
981,날씨가 따뜻하면 직장인들 나와서 도시락 먹고 저녁에는 치맥 파리~~ 여의나루역에서 나오면 전단지 나눠주는 사람들 있음 배달시키면 도착 ! 술은 편의점보다 마트에서 사가는게 유리함 ㅋ
982,"방문한 날이 하필 벚꽃축제 기간이라 사람폭탄이어서 여유로운 한강의 느낌은 아니었어요. 벚꽃은 잔디밭 내려가기 전 여의나루역 3번출구 라인에 있는게 다였고, 라면자판기 꼭 먹어봐야지했는데 줄도 긴데다 사람에 치여 쏟을까 무서워서 포기했어요. 차라리 세종 호수공원이 더 나았네요."
983,여의도한강공원 한여름에 시원한물에 발담그며 더위를식히니까 좋다
984,3월의 한강은 아직 춥네요ㅠㅠ
985,좋아요 시원하게흐르는물길이 너무좋은거같아요 같이간아이와 발 담갔어요 아주시원하고 좋았어요 ꉂꉂ(ᵔᗜᵔ*)
986,2번이나 3번출구로나가면 도보3분거리에 한강을 볼수있습니다 배달음식은 픽업지역으로 시키면됩니다특징놀이터: 아니요공중화장실: 예목줄 없이 반려견 산책이 가능한 구역: 아니요피크닉 테이블: 예바비큐 그릴: 아니요반려견 동반 환경사람이많아서 목줄이 필수입니다.
987,시원한 바람 쐬며 앉아있기도 좋고 한 번씩 걷기도 좋은 곳입니다. 행사같은 것도 많이 해서 좋고 버스킹도 하고 재밌는 곳입니다.
988,가족들이나 연인끼리 휴식을 취하기 좋은 곳 이지만! 주말이나 휴일에는 너무 사람도 많고 잡상인도 많고 쓰레기도 많고...... 등등 선택은 본인이!!
989,주말 주차장 부족. 잔디밭에는 쓰레기들. 술 먹고 떠드는 20대. 배달 오토바이들로 위험한 도로. 그럼에도 불구하고 탁트인 전경과 시원한 강바람
990,볼꺼리가 너무없네요
991,여의도 한강유원지에 자주 강바람을 쐬러가곤 합니다 대도시의 한복판에 한강이 있다는것이정말로 행운이라고 생각합니다
992,깨끗하고 재밋음. 무조건 연인이랑 갈것.
993,탁트인 전망에 날씨까지 맑으니 무더위에도 정말 편안하고 즐겁게 있다 왔습니다
994,아들이랑 엄마가 멍 때리기엔 정말 좋습니다 그리고 주말엔 추워서 늦게까지 있기엔 아닌것 갔습니다  연인들이나  친구들은 좋을것 같아요
995,도심에서 가까운  휴식공간
996,밤에 혼자 맥주마시기 딱 좋은 곳
997,벚꽃구경 실컷하고 왔어요
998,편의점위에 김병만치킨이라고 있는데 그곳 비추천합니다. 그쪽주인이 비위생적으로 하고 치킨도 오래되보이더라고요. 맛도 별로없고... 몇일전에 튀겨놓은것을 다시튀겨서 파는거같이 치킨색도 이상하고 저는 그거먹고 배탈나서 지금 고생중입니다... 여러분들은 그냥 나줘주시는 전단지에서 시켜먹는것을 추천드려요...
999,날씨는 춥지만 라면은 역시 한강라면!
1000,산책 자전거 러닝 돋자리 그늘막 가능합니다 이런 곳이 또 어디 있을까요
1001,"역시 기대에 저버리지 않는 시설,  버스킹,  먹거리, 볼거리, 또 역시 이런게 대도시인 서울에 사는 맛. 간간히 대중교통 이용해 오면 좋다.굳이 멀리 교외로 안나가더라도 어린아이 있는집은 좋을듯"
1002,걷기좋습니다. 화장실깨끗하고 벤치 곳곳에 많아요
1003,강바람이 시원하고 잘 조성되어 있네요~^^
1004,평일 오전인데도 12시쯤 되가니까 사람이 엄청 북적북적합니다. 11시쯤 도착해야 좋은자리 얻을 수 있을 것 같아요.
1005,야간에 한강을 즐기기에 좋아요.  딸이랑 같이 갔는데. 에어팟 본체 케이스 분실했어요. ㅠㅠ. 꼭 찾고싶어요.
1006,서울의 가장 대표적인 공원. 여름에는 각종 수상스포츠 체험도 가능하고 평상시에는 자전거를 타거나 소풍을 나온 사람들로 북적북적하다. 매년 열리는 불꽃 축제도 볼거리이다
1007,한강공원 중앙에 자전거 대여소 보다는 도로변에서 따릉이를 추천합니다! 저렴하고 다른 정거장에도 반납 가능해서 편리하거든요ㅎㅎ
1008,여름엔 너무 사람이 많아 정신이 없긴 합니다만 서울 시민의 최고의 휴식처입니다.  밤섬 건너편 쪽에서는 철새관찰할 수 있습니다. 서울 한강을 찾아온 가마우지들이 반갑네요
1009,한여름밤 공원에서 나들이 좋아요
1010,"여의도 한강공원 접근: 여의도역,여의나루역,국회의사당역 으로 편리. 볼거리,놀거리: 여의도 공원에서 자전거 타기 한강에서 치킨 배달해 먹기 IFC Mall에서 놀기. (CGV포함) 현대백화점에서 놀기. (2020년 완공예정) 한강유람선타기. 먹거리: 여의도 콩국수, 낙지 수제비, 에슐리, 토다이, 왕돈가스, 굴국밥, 등등 숨은 맛집 많음. 안전: 여의도 공원에서 한강공원으로 연결되는곳에 경찰서 있음."
1011,아 분위기도좋고 날씨도좋고한데 나무좀 더심어줘요ㅠㅠㅜ그늘이 없어서 너무덥고 그리고 제발 전단지 돌리는사람 단속했음좋겠음!!!누가 전단지보고 주문하나 어플로하지..환경만 안좋게ㅠㅠ
1012,가을   여의도  날씨  ☀   넘 좋았음
1013,새벽에도 시원하네요  근데 땀이...
1014,"개인적으로는 사람이 북적이는곳에다 바가지요금이 존재하기에 비추천하고 싶은곳. 만약온다면 사람 많을 때, 먹거리와 돗자리혹은 소형텐트를 구비한다면 괜찮을듯. 여기서 소비하는것은 현명하지않다"
1015,19년 4월 6일 기준 만개가 아니라 아쉬웠고 낮보단 야경이 예쁘고 밤 도깨비 야시장 공지사항 필독하여 운영여부 확인 하시고 가세요
1016,역시 한강!!👍👍…
1017,"사람이 많아서 그런지 라면, 방석 가격대가 말도 안되네요 아무리 한강특수라지만... 이럴바엔 계곡이 효율적으로 더 좋을듯"
1018,사람 개많고 시끄럽고 장사꾼으로 점령된 돗대기 시장임. 한강 운치를 즐기려면 다른쪽으로 가세요. 여름해수욕장 온 느낌.
1019,첼로 MTB 구입 1개월만에 주행거리 최초로 100km 돌파(방화대교에서 하남시계 왕복).. 이제 페달링이 뭔지 조금 감이 온듯..
1020,"마포대교 근처 한강공원에는 가족,연인,친구들이 많이 찾는 장소라 항상 붐비고 자전거 사고등에 유의해야 한다. 쓰레기 문제도 요즘 심각함 경치는 매우 좋다"
1021,가족과 함께 나와 즐길  수 있는 장소입니다. 여유가 되면 유람선을 타도 되고 자전거대여가 가능합니다.
1022,말이 필요없는 최고의 힐링스팟이죠! 아름다운 한강과 잘 정돈된 둔치의 공원은 언제 들러도 마음의 평안과 즐거움을 선사합니다.
1023,언제가도 좋은 곳이에요
1024,"주차가 힘들었지만, 한강공원은 최고"
1025,혼잡 그자체 즐기기는 좋다만 불편한게 많음 상당히..
1026,한강은 언제나 옳습니다.
1027,잔디도 넓고 배달되는 집도 많고 한강도 이쁘고 다 좋은데 단점은 날좋은 주말에 가면 사람이 너무 많다는거..
1028,외국의 자전거 도로를 느낄 수 있는 곳
1029,반찬 셀프라해서 가지러 갔더니 치사하게 종지에 주면서 무말랭이는 여기에 담아가라며 신경질적인 말투 황태콩나물 국밥 먹었는데 시원하지도 않고 그냥그랬어요...기다리면서까지 먹고픈맛은 아닙니다
1030,"좋아요♡ 사람이 많아도 좋고, 없우면 없눈대로 좋고... 여유롭게 산책하거나 생각하긴 최적의 곳입니다♡"
1031,피크닉/가족단위 휴식처/어린이물놀이장 구비
1032,"여의도 정인면옥에서 냉면,만둣국,녹두전,보쌈을 순삭하고 배가 너무 불러서 소화도 시킬겸 오랫만에 왔어요. 코로나때문에 조금 불안하긴 했지만 사람도 별로 없었어서 조금 걷다가 바람이 너무 불어서 20분만에 차타고 집 왔습니다 ㅋ."
1033,깨끗하니 방역 수칙 잘지키는듯 했다
1034,"주말에 사람이 좀 많긴 하지만, 쉴거리 놀거리 즐길거리가 많은 공원. 야시장 할때가면 맛난것도 많고 분위기도 좋다."
1035,한강에서 여자친구 문은희랑 돗자리 깔고 데이트 했어요♥♥
1036,한강은 갈때마다 좋다 주차 문제만 빼면 그리고 요즘 근처에서 캠핑 물품 대여해주는 곳이 많아 좋은 시간 보내고 왔다
1037,따뜻한 봄날의 여의도 한강공원은 언제라도 좋으것 같습니다. 다만 예전과는 다른 미세먼지로 인한 주변경관이 잘 나타나지 못한것이 아쉽긴하네요.
1038,한강세계불꽃축제....역시 한국이 짱!!!!
1039,뷰가좋고 음식을 시켜먹기좋다 다만 주말에는 사람이 너~~~무많다 여의나루역 근처말고 강을 따라 쭉 걸으면 사람이 적고 여유로운 장소가 많다
1040,"외국인들한테창피해서 죽는줄 알았습니다. 간이 해먹같은게 있는데 거기 누워서는 일어날 생각을 안하고, 20대들은 술먹고 안주 그냥 바닥에 버리는 일이 빈번해서 쓰레기장 냄새가 심하게 납니다. 같은 20대인데도 창피하네요. 시끄럽고 냄새나고 참,,독특한 곳이네요 본인집이라고 생각하고 이용했으면 좋겠어요. 손님이 놀러 왔을때 쓰레기장이라고 생각했으면 좋겠나요..? 부모님뻘들이 청소하시는 곳인데 조금만 신경을 써줬으면 좋겠구요 외국인들이 눈살 찌푸리면서 지나가는데 숨고싶었네요,"
1041,뭔놈의 사람이 이리 많은지 차도 엄청 막히고 주차할곳 없어서 회차만 하는데 40분이 걸렸네요
1042,넓은 한강보면서 간식거리라던지 먹으며 스트레스 풀기좋다
1043,"이번엔  사람이 너무  많아서 그냥 그랬네요 장사하시는 분들이  안쪽으로  안와서  좋아요 가족 소풍, 연인, 친구와 같이 여유롭게  시간보내기 참"
1044,2017년 여의도불꽃축제
1045,"5월중후반 여의도 한강공원에 돗자리 펴고 간식먹으면서 즐기는 사람들이 많네요. 바람이 제법 불어서 아직은  자켓, 가디건은 필수입니다."
1046,경치가 좋고 깔끔합니다
1047,잔잔하게 친구들이랑 놀기 좋은곳
1048,예전처럼 고즈넉 한맛은없고 사람들이 복작복작함 그것 말곤 괜찮긴 함. 나름 사람많은것 치곤 꺄끗한편이고 주차장도 있고 한강도 있으니 잠시들르기엔 좋은듯
1049,또 가고싶네용~^^
1050,한강에 여러 공원들이 많지만 가장 놀러오기 편하고 쾌적한곳은 여의도 한강공원 같아요 ㅎㅎ 서울시가 지정해논 배달존도 있어서 배달 음식 받는게 어렵지도 않고 풀밭도 엄청 넓어서 돗자리 필곳도 되게 많아요! 그리고 따릉이나 자전거 대여소도 가까이 있어서 자전거 타기에도 좋습니다!
